factor,type,impl,ic_fwd_1d,pval_fwd_1d,n_fwd_1d,trig_count,ic_fwd_7d,pval_fwd_7d,n_fwd_7d,ic_fwd_30d,pval_fwd_30d,n_fwd_30d,n_long_signals,n_short_signals,hit_rate_long_30d,hit_rate_short_30d
cap_012_sfp,pattern_setup,approx,-0.04277789887990857,0.013643142181988394,3324,321.0,-0.012159165903127102,0.48501955757426357,3300,-0.03657677503193201,0.03830599083510385,3208,141,180,0.36879432624113473,0.4722222222222222
cap_013_range_fade,pattern_setup,approx,-0.05799546163326226,0.0008221238925000449,3324,190.0,-0.06202702722345384,0.00036348919994249755,3300,-0.10132166560371235,8.853452642791203e-09,3208,54,136,0.6296296296296297,0.25735294117647056
cap_014_trend_pullback,pattern_setup,approx,-0.007365302985688998,0.6712112231903041,3324,84.0,-0.020614706444671525,0.23645190737240399,3300,-0.04645298223975637,0.00850200467957839,3208,84,0,0.2976190476190476,
cap_050_three_drives,pattern_setup,approx,-0.040339723751659555,0.020027939327284236,3324,251.0,-0.09017642306331503,2.1159377721870946e-07,3300,-0.10623980660387386,1.6187143338220012e-09,3208,0,251,,0.35856573705179284
cap_051_quasimodo,pattern_setup,approx,,,0,,,,0,,,0,0,0,,
cap_052_liquidity_grab,pattern_setup,approx,-0.026434765908261073,0.1275669865297736,3324,78.0,0.015495390121939368,0.3735418273246459,3300,0.01709988952001882,0.33293573228059237,3208,41,37,0.4634146341463415,0.5405405405405406
cap_053_doji,pattern_setup,approx,,,0,,,,0,,,0,0,0,,
cap_054_engulfing,pattern_setup,approx,0.01056948870243719,0.5424166599668091,3324,378.0,6.316818769942114e-05,0.9971057907229893,3300,-0.009542936838183797,0.5889859865330856,3208,156,222,0.5064102564102564,0.44144144144144143
cap_055_pin_bar,pattern_setup,approx,-0.018184961302165726,0.29457841510981914,3324,91.0,-0.022723310574457305,0.19188305323098878,3300,-0.02468836668931269,0.16211376617769185,3208,55,36,0.43636363636363634,0.4166666666666667
cap_056_double_needle_bottom,pattern_setup,approx,0.010020455959696641,0.5635895896087494,3324,2544.0,0.01421649570039367,0.41426719127955386,3300,0.008826768843179582,0.6172468233790194,3208,2544,0,0.48191823899371067,
cap_057_fake_breakout,pattern_setup,approx,-0.004932818649246817,0.776186474275478,3324,82.0,-0.0028442752993972343,0.8702589251600481,3300,-0.03314159512745422,0.060532110355907,3208,34,48,0.23529411764705882,0.4791666666666667
cap_058_triple_bottom,pattern_setup,approx,,,0,,,,0,,,0,0,0,,
cap_027_dxy_inverse_btc,macro_correlation,rule,-0.00031359089547459745,0.9855806060843879,3324,656.0,-0.01960701632737983,0.26015753898891025,3300,0.017032788569064726,0.3348365741224566,3208,656,0,0.5182926829268293,
cap_028_spx_risk_on,macro_correlation,rule,-0.011951270055350198,0.49094558041248,3324,1032.0,0.04148701648400452,0.017154903268716267,3300,0.03536645617688167,0.04518007802364014,3208,1032,0,0.5,
