handle,school,bias_default,ic_30d,pval,n_obs,mean_signal,std_signal,long_signal_days,short_signal_days,hit_long_30d,hit_short_30d
AltcoinSherpa,mixed,long_tilted,-0.09532476337923095,0.006867706342181741,803,0.005513915108588285,0.04719652811861049,16,7,0.125,0.7142857142857143
CoinHuSays,mixed,long_tilted,-0.10022499391417564,0.004471381819768632,803,0.03270439713737253,0.04243594312125778,95,0,0.35789473684210527,
qinbafrank,mixed,long_tilted,-0.1043980061655382,0.0030580535232545988,803,0.03937039487209474,0.040560237757460475,42,0,0.23809523809523808,
IncomeSharks,mixed,long_tilted,-0.11328714672522498,0.0013017073660607891,803,0.028461760594849488,0.05306959200095274,187,10,0.40641711229946526,0.2
CryptoGodJohn,mixed,long_tilted,-0.11650481620934555,0.0009411478490493793,803,0.018802476020490417,0.03719849207795849,10,7,0.7,0.7142857142857143
CrypNuevo,derivatives,contrarian,-0.11787490377359071,0.0008177325489068786,803,0.017333269280641255,0.04173990767131922,42,4,0.35714285714285715,0.5
Steph_iscrypto,content_creator,long_tilted,-0.11807635972282508,0.0008009050715507973,803,0.03459807978146467,0.05103478648409668,89,0,0.4157303370786517,
HsakaTrades,derivatives,contrarian,-0.11814769288879012,0.0007950239625572607,803,0.02362125777771557,0.047377077063762776,1,7,1.0,0.42857142857142855
ColdBloodShill,mixed,long_tilted,-0.12555758338713152,0.0003617287789728454,803,0.01576264366741895,0.03899020649647168,9,5,0.6666666666666666,0.0
CastilloTrading,structural,long_tilted,-0.12803784191390072,0.000275221649770735,803,0.021106759804072048,0.051226114554166,25,14,0.44,0.35714285714285715
CryptoCred,mixed,neutral,-0.14010264928174784,6.787814159902111e-05,803,0.025738236662032326,0.04220997843463776,42,6,0.35714285714285715,0.3333333333333333
Sheldon_Sniper,pure_TA,long_tilted,-0.14169143725047909,5.595826241466569e-05,803,0.027051391583886003,0.05097450298211361,196,1,0.39285714285714285,0.0
fundstrat,mixed,long_tilted,-0.14169959017795514,5.590254264038858e-05,803,0.057122781802410615,0.05667096909715597,222,0,0.40540540540540543,
GugaOnChain,onchain,neutral,-0.14259046380660664,5.0120242716885484e-05,803,0.003578965857975924,0.011937031809401076,0,0,,
Engineercryptoo,mixed,long_tilted,-0.15673884515685182,8.110825359444066e-06,803,0.0302362435968212,0.05186646067126367,194,1,0.39690721649484534,0.0
WClementeIII,macro,long_tilted,-0.15754459750124353,7.275452919836203e-06,803,0.03633890204224277,0.04128106090786708,59,0,0.22033898305084745,
shufen46250836,mixed,long_tilted,-0.1796925494739694,2.9621434740666605e-07,803,0.05484157283359662,0.05322294579208827,156,0,0.3333333333333333,
christiaandefi,mixed,long_tilted,-0.20111390997941078,8.97848307859246e-09,803,0.02560817261492739,0.03551689023002982,26,0,0.11538461538461539,
